"Day" "Store" "Min" "Max" "Median" "Mean" "LQ" "UQ" "IQRange"
"Mon" "Noel Leeming" 2 7 4 4.3 3 5 2
"Mon" "The Warehouse" 3 11 6.5 6.5 5 7.25 2.25
"Tue" "Noel Leeming" 2 9 5 4.6625 3 6 3
"Tue" "The Warehouse" 3 11 6 6.35 5 7.25 2.25
"Wed" "Noel Leeming" 2 8 4 4.3375 3 5 2
"Wed" "The Warehouse" 3 12 6 6.5 5 8 3
"Thu" "Noel Leeming" 2 10 4 4.4625 3 6 3
"Thu" "The Warehouse" 3 11 6 6.375 5 8 3
"Fri" "Noel Leeming" 2 8 4.5 4.475 3 5 2
"Fri" "The Warehouse" 3 10 6.5 6.6 5 8 3
"Sat" "The Warehouse" 1 4 2 2.5875 2 4 2
